list_concat,,,,,,,,,,,,,,,,,,,,,
count,0,0,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,3,6,10,9,10,10,10,0,0,0,0,0,0,0,0,0,0,0
trio-correct,0,0,0,2,4,2,6,8,9,8,0,0,0,0,0,0,0,0,0,0,0
trio-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syruptime,0,0,0.1546,1.1038000000000001,23.946700000000003,32.6438,7.4098,28.294700000000002,88.176,10.2621,0,0,0,0,0,0,0,0,0,0,0
trio-time,0,0,0.5831,0.6096999999999999,1.8056999999999996,1.1981000000000002,3.5714000000000006,4.2861,4.694800000000001,5.150399999999999,0,0,0,0,0,0,0,0,0,0,0
syruptimeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trio-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrupmem,0,0,282804,294880,312260,328776,326604,333708,343904,336152,0,0,0,0,0,0,0,0,0,0,0
trio-mem,0,0,160904,164528,173508,174860,178276,183428,184672,185044,0,0,0,0,0,0,0,0,0,0,0
list_rev_append,,,,,,,,,,,,,,,,,,,,,
